packet_no,source_ip,destination_ip,protocol,payload
204,13:45:10,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
205,13:45:10,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
206,13:45:12,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
207,13:45:12,148.113.8.206,192.168.31.131,TCP,No payload
208,13:45:13,192.168.31.131,20.190.146.38,TCP,No payload
209,13:45:13,20.190.146.38,192.168.31.131,TCP,No payload
210,13:45:13,192.168.31.131,20.190.146.38,TCP,No payload
211,13:45:13,192.168.31.131,162.159.135.234,TCP,Binary/Encrypted Data
212,13:45:13,162.159.135.234,192.168.31.131,TCP,No payload
213,13:45:13,162.159.135.234,192.168.31.131,TCP,Binary/Encrypted Data
214,13:45:13,192.168.31.131,162.159.135.234,TCP,No payload
215,13:45:16,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
216,13:45:16,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
217,13:45:17,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
218,13:45:22,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
219,13:45:22,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
220,13:45:22,148.113.8.206,192.168.31.131,TCP,No payload
221,13:45:22,192.168.31.131,148.113.8.206,TCP,No payload
222,13:45:22,148.113.8.206,192.168.31.131,TCP,No payload
223,13:45:22,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
224,13:45:23,192.168.31.131,20.50.201.203,TCP,No payload
225,13:45:23,20.50.201.203,192.168.31.131,TCP,No payload
226,13:45:23,192.168.31.131,20.50.201.203,TCP,No payload
227,13:45:23,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
228,13:45:28,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
229,13:45:28,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
230,13:45:28,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
231,13:45:28,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
232,13:45:28,192.168.31.131,20.189.173.16,TCP,Binary/Encrypted Data
233,13:45:29,20.189.173.16,192.168.31.131,TCP,No payload
234,13:45:29,20.189.173.16,192.168.31.131,TCP,Binary/Encrypted Data
235,13:45:29,192.168.31.131,20.189.173.16,TCP,No payload
236,13:45:29,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
237,13:45:30,185.199.110.133,192.168.31.131,TCP,Binary/Encrypted Data
238,13:45:30,192.168.31.131,185.199.110.133,TCP,No payload
239,13:45:30,185.199.110.133,192.168.31.131,TCP,Binary/Encrypted Data
240,13:45:30,185.199.110.133,192.168.31.131,TCP,No payload
241,13:45:30,192.168.31.131,185.199.110.133,TCP,No payload
242,13:45:30,185.199.110.133,192.168.31.131,TCP,No payload
243,13:45:32,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
244,13:45:32,148.113.8.206,192.168.31.131,TCP,No payload
245,13:45:34,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
246,13:45:34,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
247,13:45:35,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
248,13:45:40,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
249,13:45:40,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
250,13:45:41,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
251,13:45:42,192.168.31.131,148.113.8.206,TCP,Binary/Encrypted Data
252,13:45:42,148.113.8.206,192.168.31.131,TCP,No payload
253,13:45:42,192.168.31.131,140.82.114.25,TCP,Binary/Encrypted Data
254,13:45:43,140.82.114.25,192.168.31.131,TCP,No payload
255,13:45:46,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
256,13:45:46,192.168.31.131,204.79.197.254,TCP,Binary/Encrypted Data
257,13:45:46,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
258,13:45:46,204.79.197.254,192.168.31.131,TCP,No payload
259,13:45:47,192.168.31.131,224.0.0.22,OTHER,Binary/Encrypted Data
260,13:45:48,192.168.31.131,204.79.197.222,TCP,Binary/Encrypted Data
261,13:45:48,204.79.197.222,192.168.31.131,TCP,No payload
262,13:45:52,192.168.31.1,224.0.0.1,OTHER,Binary/Encrypted Data
